STATUS,API_ENDPOINT,DETECTED_IN_FLUTTER
MISSING,"/ai-gateway/stats/recent/",NO
MISSING,"/api/vocab/",NO
MISSING,"/grammar/generate/",NO
MISSING,"/notifications/register-fcm/",NO
MISSING,"ai-validate/",NO
MISSING,"ai/bulk-translate/",NO
MISSING,"ai/chat/",NO
MISSING,"ai/generate-exam/",NO
MISSING,"ai/generated-content/",NO
MISSING,"ai/generated-content/{param}/",NO
MISSING,"ai/generated-content/{param}/delete/",NO
MISSING,"ai/generated-content/{param}/favorite/",NO
MISSING,"ai/generated-content/{param}/images/status/",NO
MISSING,"ai/generated-content/{param}/images/{param}/retry/",NO
MISSING,"analyze-text/",NO
MISSING,"auth/change-password/",NO
MISSING,"auth/check-username/",NO
MISSING,"auth/google/",NO
MISSING,"auth/password-status/",NO
MISSING,"auth/resend-otp/",NO
MISSING,"auth/set-password/",NO
MISSING,"convert-text/",NO
MISSING,"exams/",NO
MISSING,"exams/community/",NO
MISSING,"exams/public_user_exams/?username={param}",NO
MISSING,"exams/{param}/",NO
MISSING,"extract-content/",NO
MISSING,"extract-text/",NO
MISSING,"extract-youtube/",NO
MISSING,"games/matching/",NO
MISSING,"generate-advanced-text/",NO
MISSING,"generate-podcast/",NO
MISSING,"grammar/",NO
MISSING,"grammar/generate/",NO
MISSING,"grammar/import_csv/",NO
MISSING,"grammar/{param}/",NO
MISSING,"https://deepgram.com/",NO
MISSING,"https://ocr.space/ocrapi",NO
MISSING,"https://speechify.com/",NO
MISSING,"https://stablehorde.net/",NO
MISSING,"logout/",NO
MISSING,"notifications/preferences/",NO
MISSING,"notifications/subscribe/",NO
MISSING,"notifications/test/",NO
MISSING,"notifications/unsubscribe/",NO
MISSING,"podcasts/",NO
MISSING,"podcasts/categories/",NO
MISSING,"podcasts/categories/{param}/",NO
MISSING,"podcasts/{param}/",NO
MISSING,"practice/random/",NO
MISSING,"practice/result/",NO
MISSING,"practice/stats/",NO
MISSING,"practice/words/",NO
MISSING,"profile/",NO
MISSING,"progress/update/",NO
MISSING,"public-vocab/",NO
MISSING,"public-vocab/{param}/copy/",NO
MISSING,"quiz/",NO
MISSING,"saved-texts/",NO
MISSING,"saved-texts/{param}/",NO
MISSING,"tts/speechify-voices/",NO
MISSING,"tts/validate-deepgram/",NO
MISSING,"tts/validate/",NO
MISSING,"update_profile/",NO
MISSING,"users/${user.profile_id ||",NO
MISSING,"users/follow/",NO
MISSING,"users/me/",NO
MISSING,"users/public/?username={param}",NO
MISSING,"vocab/",NO
MISSING,"vocab/by-status/",NO
MISSING,"vocab/export_csv/",NO
MISSING,"vocab/generate-embeddings/",NO
MISSING,"vocab/import_csv/",NO
MISSING,"vocab/semantic-search/",NO
MISSING,"vocab/validate-openrouter/",NO
MISSING,"vocab/{param}/",NO
