Component,File,Element,Label,Event,Handler,Inferred Logic
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,IconButton,"Unknown","onPressed","context.pop(),","-"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,GestureDetector,"Unknown","onPressed","ref.read(aiGatewayProvider.notifier).loadData(),","State/API"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,ElevatedButton,"Icon: LucideIcons.alertCircle, color: Colors.red, ","onPressed","ref.read(aiGatewayProvider.notifier).loadData(),","State/API"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,GestureDetector,"Unknown","onTap","setState(() {","-"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,ElevatedButton,"Unknown","onPressed","if (_selectedProvider != null &&","-"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,GestureDetector,"Unknown","onPressed","onTest(keyItem.id),","-"
ai_gateway_screen.dart,ai\screens\ai_gateway_screen.dart,IconButton,"Unknown","onPressed","onDelete(keyItem.id),","-"
ai_generator_screen.dart,ai\screens\ai_generator_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
ai_generator_screen.dart,ai\screens\ai_generator_screen.dart,GestureDetector,"Unknown","onTap","context.push('/ai/story'),","Navigation"
ai_generator_screen.dart,ai\screens\ai_generator_screen.dart,GestureDetector,"Unknown","onTap","","-"
ai_generator_screen.dart,ai\screens\ai_generator_screen.dart,GestureDetector,"Unknown","onTap","context.push('/ai/article'), // Implement later","Navigation"
ai_generator_screen.dart,ai\screens\ai_generator_screen.dart,GestureDetector,"Unknown","onTap","onTap","-"
gen_article_screen.dart,ai\screens\gen_article_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
gen_dialogue_screen.dart,ai\screens\gen_dialogue_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,GestureDetector,"Unknown","onPressed","setState(()","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,TextButton,"Unknown","onPressed","setState(()","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,ElevatedButton,"Cancel","onPressed","if (_charNameController.text.isNotEmpty) {","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,GestureDetector,"Add","onTap","setState(()","-"
gen_story_screen.dart,ai\screens\gen_story_screen.dart,GestureDetector,"Unknown","onTap","setState(()","-"
onboarding_screen.dart,auth\screens\onboarding_screen.dart,ElevatedButton,"Unknown","onPressed","if (_page < _pages.length - 1) {","-"
login_screen.dart,auth\widgets\login_screen.dart,GestureDetector,"Unknown","onPressed","","-"
login_screen.dart,auth\widgets\login_screen.dart,GestureDetector,"Unknown","onPressed","_handleSubmit","-"
login_screen.dart,auth\widgets\login_screen.dart,TextButton,"Unknown","onPressed","setState(() {","-"
exam_create_screen.dart,exams\screens\exam_create_screen.dart,IconButton,"Icon: LucideIcons.chevronLeft, color: Colors.white","onPressed","context.pop(),","-"
exam_create_screen.dart,exams\screens\exam_create_screen.dart,GestureDetector,"Unknown","onPressed","_handleGenerate","-"
exam_dashboard_screen.dart,exams\screens\exam_dashboard_screen.dart,IconButton,"Icon: LucideIcons.plus, color: Color(0xFF8B5CF6","onPressed","context.push('/exams/create'),","Navigation"
exam_dashboard_screen.dart,exams\screens\exam_dashboard_screen.dart,FAB,"Unknown","onPressed","context.push('/exams/create'),","Navigation"
exam_dashboard_screen.dart,exams\screens\exam_dashboard_screen.dart,ElevatedButton,"Unknown","onPressed","context.push('/exams/play/${exam.id}'),","Navigation"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,IconButton,"Icon: LucideIcons.x, color: Colors.white","onPressed","_confirmExit(context),","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,GestureDetector,"Unknown","onTap","ref","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,TextButton,"Unknown","onPressed","","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,ElevatedButton,"Unknown","onPressed","","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,ElevatedButton,"Unknown","onPressed","_submitExam(context, ref),","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,TextButton,"Unknown","onPressed","Navigator.pop(ctx),","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,TextButton,"Cancel","onPressed","Navigator.pop(ctx);","-"
exam_play_screen.dart,exams\screens\exam_play_screen.dart,TextButton,"Unknown","onPressed","Navigator.pop(ctx);","-"
