Status,React Component,React Label,React Event,React API,Flutter Match (If Any)
MATCH,MobileAbout,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAbout,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","Nav: /m/words","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","POST: vocab/ | PUT: vocab/${id}/ | Nav: /m/words","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","POST: ai/chat/","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onChange","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","","Unknown (add_word_screen.dart)"
MATCH,MobileAddWord,"Unknown","onClick","","Unknown (add_word_screen.dart)"
MISSING,MobileAIGateway,"{error}","onClick","GET: /ai-gateway/dashboard/",-
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MISSING,MobileAIGateway,"AI Gateway","onClick","GET: /ai-gateway/dashboard/",-
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onSubmit","POST: /ai-gateway/keys/","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onChange","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onChange","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onChange","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGateway,"Unknown","onClick","","Unknown (ai_gateway_screen.dart)"
MATCH,MobileAIGenerator,"Unknown","onClick","Ref (Unknown Body)","Unknown (ai_generator_screen.dart)"
MATCH,MobileAIGenerator,"Unknown","onClick","Nav: /m","Unknown (ai_generator_screen.dart)"
MATCH,MobileAIGenerator,"Unknown","onClick","Nav: /m/ai/library","Unknown (ai_generator_screen.dart)"
MATCH,MobileAIGenerator,"Unknown","onClick","","Unknown (ai_generator_screen.dart)"
MATCH,MobileAPISettings,"Unknown","onClick","","Unknown (api_settings_screen.dart)"
MATCH,MobileAPISettings,"Unknown","onClick","POST: update_profile/","Unknown (api_settings_screen.dart)"
MATCH,MobileAPISettings,"Unknown","onClick","Nav: /m/ai-gateway","Unknown (api_settings_screen.dart)"
MATCH,MobileAPISettings,"Unknown","onChange","","Unknown (api_settings_screen.dart)"
MATCH,MobileAPISettings,"Unknown","onClick","","Unknown (api_settings_screen.dart)"
MISSING,MobileArticleViewer,"{error}","onClick","Nav: /m/ai/library",-
MATCH,MobileArticleViewer,"Unknown","onClick","Nav: /m/ai/library","Unknown (ai_gateway_screen.dart)"
MATCH,MobileContentLibrary,"Unknown","onClick","Ref (Unknown Body)","Unknown (library_screen.dart)"
MISSING,MobileContentLibrary,"{item.content_type}","onClick","",-
MISSING,MobileContentLibrary,"Tap to read","onClick","",-
MISSING,MobileContentLibrary,"Library","onClick","Nav: /m/ai",-
MATCH,MobileContentLibrary,"Unknown","onClick","","Unknown (library_screen.dart)"
MATCH,MobileContentLibrary,"Unknown","onClick","","Unknown (library_screen.dart)"
MISSING,MobileContentLibrary,"Start creating amazing AI-generated content!","onClick","Nav: /m/ai",-
MISSING,MobileDialogueViewer,"{error}","onClick","Nav: /m/ai/library",-
MATCH,MobileDialogueViewer,"Unknown","onClick","Nav: /m/ai/library","Unknown (ai_gateway_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onClick","","Unknown (edit_profile_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onClick","PUT: users/me/","Unknown (edit_profile_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onClick","","Unknown (edit_profile_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onChange","","Unknown (edit_profile_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onChange","","Unknown (edit_profile_screen.dart)"
MATCH,MobileEditProfile,"Unknown","onChange","","Unknown (edit_profile_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","Nav: /m/practice","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","Nav: /m/exam/play","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","Nav: /m/exam/create","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExam,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","Nav: /m/exam","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","Nav: /m","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","Nav: /m/exam","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onChange","","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
MATCH,MobileExamCreate,"Unknown","onClick","","Unknown (exam_create_screen.dart)"
