Component,File,Element,Label,Event,Handler,Inferred API
MobileAbout,pages\mobile\MobileAbout.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAbout,pages\mobile\MobileAbout.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","Inline Function","Nav: /m/words"
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","handleSubmit","POST: vocab/ | PUT: vocab/${id}/ | Nav: /m/words"
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","handleAITranslate","POST: ai/chat/"
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","handleAddTag",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAddWord,pages\mobile\MobileAddWord.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"{error}","onClick","loadData","GET: /ai-gateway/dashboard/"
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Button,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"AI Gateway","onClick","loadData","GET: /ai-gateway/dashboard/"
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onSubmit","addKey","POST: /ai-gateway/keys/"
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Button,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAIGateway,pages\mobile\MobileAIGateway.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAIGenerator,pages\mobile\MobileAIGenerator.jsx,Element,"Unknown","onClick","onClick","Ref (Unknown Body)"
MobileAIGenerator,pages\mobile\MobileAIGenerator.jsx,Element,"Unknown","onClick","Inline Function","Nav: /m"
MobileAIGenerator,pages\mobile\MobileAIGenerator.jsx,Element,"Unknown","onClick","Inline Function","Nav: /m/ai/library"
MobileAIGenerator,pages\mobile\MobileAIGenerator.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAPISettings,pages\mobile\MobileAPISettings.jsx,Element,"Unknown","onClick","Inline Function",""
MobileAPISettings,pages\mobile\MobileAPISettings.jsx,Element,"Unknown","onClick","handleSave","POST: update_profile/"
MobileAPISettings,pages\mobile\MobileAPISettings.jsx,Element,"Unknown","onClick","Inline Function","Nav: /m/ai-gateway"
MobileAPISettings,pages\mobile\MobileAPISettings.jsx,Element,"Unknown","onChange","Inline Function",""
MobileAPISettings,pages\mobile\MobileAPISettings.jsx,Element,"Unknown","onClick","Inline Function",""
MobileArticleViewer,pages\mobile\MobileArticleViewer.jsx,Element,"{error}","onClick","Inline Function","Nav: /m/ai/library"
