Component,React File,Element,Label,Event,Handler,Inferred API
MobileReader,pages/mobile/MobileReader.jsx,No Click Handlers Found,-,-,-,-
MobilePodcastStudio,pages/mobile/MobilePodcastStudio.jsx,No Click Handlers Found,-,-,-,-
MobileWords,pages/mobile/MobileWords.jsx,No Click Handlers Found,-,-,-,-
MobileFlashcard,pages/mobile/MobileFlashcard.jsx,No Click Handlers Found,-,-,-,-
MobileAIGateway,pages/mobile/MobileAIGateway.jsx,No Click Handlers Found,-,-,-,-
MobileExamCreate,pages/mobile/MobileExamCreate.jsx,No Click Handlers Found,-,-,-,-
MobileExamPlay,pages/mobile/MobileExamPlay.jsx,No Click Handlers Found,-,-,-,-
MobileWordBuilder,pages/mobile/MobileWordBuilder.jsx,No Click Handlers Found,-,-,-,-
MobileGrammarReader,pages/mobile/MobileGrammarReader.jsx,No Click Handlers Found,-,-,-,-
MobileExam,pages/mobile/MobileExam.jsx,No Click Handlers Found,-,-,-,-
MobileGenStory,pages/mobile/MobileGenStory.jsx,No Click Handlers Found,-,-,-,-
MobileGrammar,pages/mobile/MobileGrammar.jsx,No Click Handlers Found,-,-,-,-
MobileHome,pages/mobile/MobileHome.jsx,No Click Handlers Found,-,-,-,-
MobileAddWord,pages/mobile/MobileAddWord.jsx,No Click Handlers Found,-,-,-,-
MobileReaderPractice,components/mobile/MobileReaderPractice.jsx,No Click Handlers Found,-,-,-,-
MobileGenDialogue,pages/mobile/MobileGenDialogue.jsx,No Click Handlers Found,-,-,-,-
MobileMemoryMatch,pages/mobile/MobileMemoryMatch.jsx,No Click Handlers Found,-,-,-,-
MobileLanguageSettings,pages/mobile/MobileLanguageSettings.jsx,No Click Handlers Found,-,-,-,-
MobileSecuritySettings,pages/mobile/MobileSecuritySettings.jsx,No Click Handlers Found,-,-,-,-
MobileStoryDisplay,components/mobile/MobileStoryDisplay.jsx,No Click Handlers Found,-,-,-,-
MobileEditProfile,pages/mobile/MobileEditProfile.jsx,No Click Handlers Found,-,-,-,-
MobileContentLibrary,pages/mobile/MobileContentLibrary.jsx,No Click Handlers Found,-,-,-,-
MobileGrammarGenerate,pages/mobile/MobileGrammarGenerate.jsx,No Click Handlers Found,-,-,-,-
MobileAPISettings,pages/mobile/MobileAPISettings.jsx,No Click Handlers Found,-,-,-,-
MobileProfile,pages/mobile/MobileProfile.jsx,No Click Handlers Found,-,-,-,-
MobileArticleDisplay,components/mobile/MobileArticleDisplay.jsx,No Click Handlers Found,-,-,-,-
MobileHeroDashboardPreview,components/MobileHeroDashboardPreview.jsx,No Click Handlers Found,-,-,-,-
MobileGenArticle,pages/mobile/MobileGenArticle.jsx,No Click Handlers Found,-,-,-,-
MobileTimeChallenge,pages/mobile/MobileTimeChallenge.jsx,No Click Handlers Found,-,-,-,-
MobileGames,pages/mobile/MobileGames.jsx,No Click Handlers Found,-,-,-,-
MobileMarkdownRenderer,components/mobile/MobileMarkdownRenderer.jsx,No Click Handlers Found,-,-,-,-
MobileStoryViewer,pages/mobile/MobileStoryViewer.jsx,No Click Handlers Found,-,-,-,-
MobileDialogueDisplay,components/mobile/MobileDialogueDisplay.jsx,No Click Handlers Found,-,-,-,-
MobileNotificationSettings,pages/mobile/MobileNotificationSettings.jsx,No Click Handlers Found,-,-,-,-
MobileFloatingExamTimer,components/mobile/MobileFloatingExamTimer.jsx,No Click Handlers Found,-,-,-,-
MobileArticleViewer,pages/mobile/MobileArticleViewer.jsx,No Click Handlers Found,-,-,-,-
MobileDialogueViewer,pages/mobile/MobileDialogueViewer.jsx,No Click Handlers Found,-,-,-,-
MobileNotifications,pages/mobile/MobileNotifications.jsx,No Click Handlers Found,-,-,-,-
MobileNav,components/mobile/MobileNav.jsx,No Click Handlers Found,-,-,-,-
MobileAIGenerator,pages/mobile/MobileAIGenerator.jsx,No Click Handlers Found,-,-,-,-
MobileExamQuestions,components/mobile/MobileExamQuestions.jsx,No Click Handlers Found,-,-,-,-
MobilePractice,pages/mobile/MobilePractice.jsx,No Click Handlers Found,-,-,-,-
MobileAbout,pages/mobile/MobileAbout.jsx,No Click Handlers Found,-,-,-,-
MobileHelp,pages/mobile/MobileHelp.jsx,No Click Handlers Found,-,-,-,-
MobileAIWizardLayout,components/mobile/MobileAIWizardLayout.jsx,No Click Handlers Found,-,-,-,-
MobileLayout,components/mobile/MobileLayout.jsx,No Click Handlers Found,-,-,-,-
